video_id,ia_principal,ia_secondaire,ia_confiance,ia_tonalite,ia_registre,ia_presence_solutions,ia_justification
X-faDQr2jXI,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.93,moquerie,opinion,False,"La vidéo porte elle-même, par la voix de son invité présenté comme expert légitime, une remise en cause directe du consensus scientifique sur l'origine humaine du réchauffement, de la fiabilité des modèles et rapports du GIEC, et de la notion d'urgence climatique, tout en dénonçant l'alarmisme médiatique et politique comme une 'construction' idéologique."
Bdkqxr966mo,OPPOSITION_ECOLOGIE,SOLUTIONS_TECHNO,0.88,colère,opinion,True,"La vidéo valorise les prises de position de Marion Maréchal contre le Pacte Vert, l'écologie punitive, l'interdiction des voitures thermiques et les énergies renouvelables intermittentes, en promouvant le nucléaire et l'innovation comme alternatives, sans contester la réalité du réchauffement climatique mais en s'opposant frontalement aux politiques écologiques européennes."
RRiN6Gj3NS0,OPPOSITION_ECOLOGIE,,0.95,colère,opinion,False,"Willy Schraen s'oppose frontalement aux politiques environnementales européennes (aires protégées, restauration de la nature, directives) qu'il présente comme une atteinte au droit de propriété privée, sans contester la science climatique mais en dénonçant l'écologie comme programme politique contraignant et liberticide."
LavNq4MlWMo,SOLUTIONS_TECHNO,,0.25,neutre,information,True,"La vidéo porte sur les matériaux d'isolation de maison (fibre de verre, cellulose, mousse projetée, etc.) dans une optique de confort et d'efficacité énergétique domestique ; le climat y est mentionné uniquement comme référence aux 'climate zones' américaines (zones climatiques de construction), sans rapport substantiel avec le changement climatique, ce qui abaisse fortement la confiance."
PI21mnuWJLw,CRITIQUE_INACTION,URGENCE_MOBILISATION,0.88,colère,information,True,"La vidéo dénonce explicitement la poursuite et la multiplication des projets d'extraction fossile malgré les engagements climatiques, en ciblant les grandes entreprises (TotalEnergies) et les banques finançant ces 'bombes carbone', ce qui relève d'une critique de l'inaction et du greenwashing des acteurs économiques et politiques, tout en s'appuyant sur des données factuelles et en appelant à la mobilisation."
kGjVo0Gq5Mo,URGENCE_MOBILISATION,SOLUTIONS_TECHNO,0.62,urgence,information,True,"Le reportage documente l'impact concret et grave des sargasses sur la vie des habitants de Guadeloupe en liant explicitement le phénomène au réchauffement climatique, avec un registre alarmiste (« enfer », « catastrophique », « désolation »), tout en présentant les solutions testées (barrages, navire Sargator) comme insuffisantes, ce qui renforce l'idée d'une crise non résolue nécessitant une réponse urgente."
pi1ZQkCFwsE,URGENCE_MOBILISATION,SOLUTIONS_TECHNO,0.62,urgence,information,True,"Le documentaire présente la Roumanie comme un pays sous pression climatique permanente (inondations, érosion côtière, risque sismique) avec un registre factuel teinté d'urgence, tout en explorant les solutions infrastructurelles (digues, réensablement, relogement), ce qui place la vidéo entre URGENCE_MOBILISATION et SOLUTIONS_TECHNO, avec une légère prédominance du cadrage alarmiste sur la vulnérabilité du territoire."
FPZsh9VKyAg,OPPOSITION_ECOLOGIE,SCEPTICISME_MINIMISATION,0.72,moquerie,opinion,False,"Le débat, animé par Pascal Praud, utilise la canicule comme prétexte pour critiquer les écologistes jugés 'punitifs' et 'hypocrites' qui s'opposent à la climatisation, tout en minimisant régulièrement la fréquence et la gravité des épisodes caniculaires ('l'année dernière zéro jour', 'ça dure 2 jours'), ce qui constitue une opposition aux politiques écologiques avec une teinte de minimisation."
EwXJa4LE_Sw,URGENCE_MOBILISATION,SCIENCE_PEDAGOGIE,0.82,urgence,information,True,"L'émission mobilise des experts scientifiques et politiques pour alerter sur la gravité des canicules actuelles et futures (records battus, activation précoce du plan vigilance), en réfutant explicitement les voix climatosceptiques, avec une projection vers 2050 qui ancre le discours dans l'urgence d'agir."
8OpED-KixiY,OPPOSITION_ECOLOGIE,,0.85,colère,opinion,False,"La vidéo dénonce explicitement une taxe environnementale comme de l'« écologie punitive » pesant sur le portefeuille des citoyens, sans remettre en cause la science du climat ni réclamer plus d'action climatique, ce qui correspond au profil OPPOSITION_ECOLOGIE."
5LJy1DTYCAg,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.62,neutre,opinion,False,"La description positionne la vidéo comme défenseure d'une 'science authentique libre d'influence politique' tout en affirmant que les événements climatiques récents s'inscrivent dans des 'patterns historiques naturels', formulation typique de la minimisation de l'origine humaine et de la gravité du changement climatique, même si un vernis de bonne intention environnementale est maintenu."
Uj7__BAeE-0,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.45,moquerie,opinion,False,"La vidéo remet en cause le discours alarmiste sur la surpopulation depuis une perspective biblique, ce qui s'inscrit dans une posture de minimisation des crises environnementales ; toutefois le lien direct avec le consensus climatique reste indirect (sujet surpopulation), d'où une confiance modérée."
h1jOqyjcO4g,SCIENCE_PEDAGOGIE,SOLUTIONS_TECHNO,0.72,neutre,information,True,"La vidéo pose une question factuelle sur l'état des progrès climatiques (émissions, projections 2100), adoptant un registre pédagogique basé sur des références scientifiques, tout en abordant les avancées en cours qui suggèrent une dimension solutions."
lBrNbed57ag,SOLUTIONS_TECHNO,SCIENCE_PEDAGOGIE,0.88,neutre,information,True,"La vidéo se concentre principalement sur les solutions concrètes de chauffage (pompe à chaleur, isolation, poêles à bois) pour réduire la facture énergétique et les émissions, dans un registre pédagogique et pratique typique de l'émission 'Le monde de Jamy'."
mw_Wsw5xM9w,ANXIETE_EFFONDREMENT,CRITIQUE_POLITIQUE_ECOLO,0.72,anxiété,opinion,True,"La vidéo est centrée sur la détresse psychologique, la précarité et l'éco-anxiété des jeunes générations face à un avenir perçu comme sombre, avec une forte dimension de désarroi face à l'inaction politique, même si des pistes de résilience collective sont évoquées en fin de parcours."
h8MDVfWecNo,SCEPTICISME_MINIMISATION,OPPOSITION_ECOLOGIE,0.52,colère,opinion,False,"Le format débat met en scène une opposition entre acceptation du consensus et critique des 'prévisions millénaristes', mais le cadrage éditorial (titre, description) et l'extrait suggèrent que la ligne dominante consiste à relativiser ou contester la gravité des projections climatiques en les qualifiant de millénaristes, ce qui relève d'une minimisation, même si le consensus de base sur la réalité du changement est formellement reconnu."
qrThZ6SQfJE,CRITIQUE_INACTION,SOLUTIONS_TECHNO,0.72,neutre,opinion,True,"Jancovici, cofondateur du Shift Project, accepte pleinement le consensus climatique et consacre l'entretien à dénoncer la volatilité et l'inaction des politiques (primes supprimées, pas en avant/arrière) tout en proposant des pistes de transformation sectorielle (transport, agriculture, énergie), ce qui correspond à une posture de critique de l'inaction réclamant davantage d'action, avec une forte dimension solutions."
o5kDDXyUbfE,CRITIQUE_INACTION,URGENCE_MOBILISATION,0.78,colère,opinion,False,"Aurélien Barrau dénonce la répression étatique (2000 gendarmes) contre des expérimentateurs alternatifs à Notre-Dame-des-Landes, présentant cette inaction politique et cette priorité donnée aux intérêts établis comme une faute grave face à l'urgence climatique, ce qui relève d'une critique de l'inaction/des choix politiques au nom d'un impératif écologique accepté."
Wqp-7spdYwo,SCIENCE_PEDAGOGIE,URGENCE_MOBILISATION,0.3,neutre,divertissement,False,"La vidéo utilise le thème de la crise climatique comme simple prétexte pédagogique pour un cours d'anglais langue étrangère ; le climat n'est pas le sujet substantiel traité, ce qui abaisse fortement la confiance."
dmsYUDSIBFc,URGENCE_MOBILISATION,CRITIQUE_INACTION,0.42,urgence,opinion,False,"L'éditorialiste commente une canicule sévère en soulignant l'absence de préparation préalable des pouvoirs publics, ce qui évoque à la fois l'urgence climatique immédiate et une critique implicite de l'inaction, mais l'absence de transcript limite la confiance dans ce classement."
ML3gFIcMjGY,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.72,moquerie,opinion,False,"Le titre et la description positionnent explicitement la vidéo comme une remise en cause de la gravité des points de basculement climatiques ('falsos puntos de no retorno', 'la ciencia cuestiona sus puntos clave'), en opposant la 'science' à l''alarmisme médiatique', ce qui constitue une minimisation du consensus scientifique portée par la vidéo elle-même, émanant d'un média espagnol de droite libérale (Libertad Digital)."
Go5aXVTnQi8,SOLUTIONS_TECHNO,URGENCE_MOBILISATION,0.42,neutre,information,True,"Le transcript tronqué évoque un débat sur l'adaptation climatique versus l'atténuation dans un contexte gouvernemental, sans position clairement dominante identifiable, mais le cadre d'une ministre discutant de politiques d'adaptation oriente vers les solutions, avec une confiance faible en raison du transcript très fragmenté."
F8XtKR5sKTI,ANXIETE_EFFONDREMENT,CRITIQUE_POLITIQUE_ECOLO,0.35,moquerie,divertissement,False,"Vidéo de stand-up humoristique sur le climat avec hashtag #onestfoutu évoquant un registre fataliste/effondrement, mais le format divertissement et l'absence de transcript empêchent une classification fiable ; la confiance est donc fortement abaissée."
fu_JqFgDR_k,URGENCE_MOBILISATION,SCIENCE_PEDAGOGIE,0.62,urgence,information,True,"Le débat traite principalement des noyades en canicule comme conséquence directe du changement climatique (expert GIEC présent, température létale évoquée), avec un cadrage d'urgence sanitaire et des appels à l'action publique, bien que le cœur du sujet soit davantage la prévention des noyades que la mobilisation climatique à proprement parler."
EHgn2qwz-6M,URGENCE_MOBILISATION,SCIENCE_PEDAGOGIE,0.72,urgence,opinion,True,"Jancovici argumente que l'adaptation au réchauffement est plus douloureuse et inégalitaire que l'atténuation aurait pu l'être, appelant implicitement à une action préventive forte, tout en s'appuyant sur des explications scientifiques (CO2, stabilité chimique) pour étayer son propos."
e1XPwLJ-4Ag,URGENCE_MOBILISATION,ANXIETE_EFFONDREMENT,0.32,moquerie,divertissement,False,"Il s'agit d'un spectacle comique (stand-up) dont le titre climatosceptique est ironique/provocateur ; le contenu extrait moque la posture d'inaction collective face à l'urgence climatique, sans nier la science — le climat n'est qu'un prétexte à l'humour, ce qui rend tout classement incertain et justifie une confiance très basse."
9igpeZaK5hM,URGENCE_MOBILISATION,SCIENCE_PEDAGOGIE,0.78,urgence,information,True,"L'émission documente avec gravité et chiffres à l'appui le phénomène massif des déplacements climatiques (200 millions de personnes d'ici 2050), souligne l'absence de préparation politique et juridique, et appelle implicitement à une action globale urgente, tout en s'appuyant sur un expert et des reportages de terrain à visée pédagogique."
LpjZ5G-ephA,URGENCE_MOBILISATION,ANXIETE_EFFONDREMENT,0.72,anxiété,divertissement,False,"La vidéo est une chanson du groupe I Muvrini projetée en 2043, qui décrit un monde ravagé par le réchauffement climatique (réfugiés climatiques, tempêtes, 45°C, manque d'eau, lobbies), avec un appel implicite à agir ('il n'est pas trop tard'), ce qui relève d'un registre d'urgence-mobilisation à tonalité anxiogène, en lien avec les inondations espagnoles évoquées en contexte."
B_oOpQRtJl8,SCIENCE_PEDAGOGIE,SOLUTIONS_TECHNO,0.82,neutre,information,True,"Conférence universitaire d'un océanographe spécialiste expliquant le rôle régulateur de l'océan dans le climat, les mécanismes d'absorption du carbone et les perspectives de géo-ingénierie, dans un registre pédagogique et factuel typique d'une vulgarisation scientifique."
Qj9acKP_ZVg,SOLUTIONS_TECHNO,,0.08,moquerie,divertissement,False,"Le climat n'est qu'un prétexte humoristique et répété comme running gag dans une vidéo de mode/sapologie congolaise sans aucun rapport substantiel avec le changement climatique ; aucune catégorie ne s'applique réellement, confiance très basse."
HeQTimFkHkU,ANXIETE_EFFONDREMENT,SOLUTIONS_TECHNO,0.78,anxiété,opinion,False,"La vidéo développe un cadre intellectuel centré sur l'improbabilité de la transition énergétique, la finitude possible de la civilisation humaine et l'incapacité structurelle de Sapiens à surmonter le défi écologique actuel, relevant d'un registre collapsologique et fataliste, avec une évocation critique des solutions technologiques jugées insuffisantes."
OE90dn4SpcE,OPPOSITION_ECOLOGIE,SOLUTIONS_TECHNO,0.92,colère,opinion,True,"La vidéo, portée par le média souverainiste Omerta et l'expert pro-nucléaire Fabien Bouglé, critique frontalement la PPE3 au nom du coût des renouvelables, de leur intermittence et du lobby éolien/solaire, opposant une vision souverainiste-nucléaire à ce qu'elle présente comme une 'écologie punitive' imposée par idéologie — sans contester la science climatique mais en s'opposant résolument aux politiques de déploiement des énergies renouvelables."
CNxchk8jR6U,ANXIETE_EFFONDREMENT,URGENCE_MOBILISATION,0.52,anxiété,information,False,"Le titre évoquant des canicules à 50°C et le sous-titre de l'émission 'l'angoisse s'installe' signalent un registre centré sur la projection anxiogène de conditions climatiques futures insupportables, sans transcript disponible pour confirmer une dimension mobilisatrice ou pédagogique dominante."
bFAxtFUyCiI,URGENCE_MOBILISATION,CRITIQUE_POLITIQUE_ECOLO,0.78,urgence,divertissement,True,"La vidéo, sous forme humoristique et dystopique, martèle l'urgence climatique avec des données factuelles (OMS, 57 pollueurs, greenwashing de Shell/BP), dénonce la responsabilité des grandes entreprises fossiles et leurs biais cognitifs, tout en pointant vers quelques solutions (Nexans, Signify), le tout dans un registre de divertissement engagé visant à remobiliser un public qui 's'en fout'."
gOf5mRjcChc,ANXIETE_EFFONDREMENT,SCIENCE_PEDAGOGIE,0.72,anxiété,opinion,False,"Jancovici articule un pronostic d'effondrement économique avant même l'effondrement environnemental, dans un registre catastrophiste assumé, tout en s'appuyant sur des données scientifiques (asséchement, degrés de réchauffement) qui constituent le fond pédagogique secondaire."
ufBksEBpLr8,ANXIETE_EFFONDREMENT,URGENCE_MOBILISATION,0.35,anxiété,divertissement,False,"Le titre en anglais avec le mot 'terrifying' et les hashtags viraux (#fyp, #CapCut) suggèrent un contenu à registre anxiogène et émotionnel typique des courts formats TikTok/Shorts, mais l'absence de transcript et de description oblige à une confiance très basse."
2WOI8Cu3ZH4,ANXIETE_EFFONDREMENT,CRITIQUE_POLITIQUE_ECOLO,0.72,anxiété,opinion,False,"Vincent Mignerot, essayiste collapsologique, développe une thèse selon laquelle la transition énergétique par substitution est conceptuellement non démontrée et potentiellement vouée à l'échec, inscrivant le discours dans un registre fataliste et effondrement plutôt que dans une logique de solutions, tout en critiquant implicitement le discours politique et scientifique dominant sur l'écologie."
5HlHv4vuiWw,ANXIETE_EFFONDREMENT,CRITIQUE_POLITIQUE_ECOLO,0.72,urgence,opinion,False,"Barrau ne nie pas le réchauffement mais le relativise face à un effondrement systémique plus large (6e extinction massive), critiquant le techno-solutionnisme comme une 'arnaque' qui masque la profondeur du désastre civilisationnel — registre collapsologique dominant."
XaV0PjP1ZWA,SOLUTIONS_TECHNO,SCIENCE_PEDAGOGIE,0.72,neutre,information,True,"L'épisode est centré sur la planification, les mécanismes de financement et les bonnes pratiques d'adaptation au changement climatique en Afrique (fonds multilatéraux, assurances climatiques, plans nationaux, savoirs locaux), avec un registre expert-pédagogique qui documente également les vulnérabilités, plaçant les solutions et l'action concrète au cœur du propos."
UU-ep0Ru1-0,SCIENCE_PEDAGOGIE,,0.82,neutre,information,False,"La vidéo de RFI vise à expliquer de manière pédagogique la distinction entre El Niño et le réchauffement climatique dans la survenue d'événements météorologiques extrêmes, dans un registre explicatif et factuel typique d'une rubrique de vulgarisation scientifique."
60r-KuSIpyQ,URGENCE_MOBILISATION,SCIENCE_PEDAGOGIE,0.72,urgence,opinion,False,"Jancovici insiste sur le caractère inédit et imprévisible du changement climatique subi par une humanité vulnérable et sédentaire, posture typique de son registre d'alerte sur l'ampleur et la gravité de la crise, avec une base factuelle sous-jacente."
bL-wG3e1VrA,SCIENCE_PEDAGOGIE,URGENCE_MOBILISATION,0.72,moquerie,divertissement,False,"La vidéo expose factuellement et avec des sources sérieuses les 9 limites planétaires et les données associées (taux CO2, biodiversité, cycles biogéochimiques), mais le fait via un registre sarcastique et ironique qui feint de 'célébrer' le dépassement des limites pour alerter sur la réalité de la crise climatique."
vgAGvkQPvo8,CRITIQUE_INACTION,URGENCE_MOBILISATION,0.72,urgence,information,False,"La vidéo documente un procès emblématique visant à établir la responsabilité juridique d'un grand pollueur fossile (RWE) dans les dommages climatiques subis par un habitant du Sud global, ce qui relève d'une dénonciation de l'inaction et de l'impunité des grandes entreprises émettrices plutôt que d'une contestation de la science ou d'une opposition aux politiques écologiques."
GjDerkDg4jI,CRITIQUE_INACTION,SOLUTIONS_TECHNO,0.82,colère,opinion,True,"La députée LFI dénonce l'inaction gouvernementale face aux canicules meurtrières et propose un plan de planification écologique (rénovation thermique, renouvelables, sobriété), en acceptant pleinement la réalité du changement climatique tout en reprochant aux gouvernements successifs de n'avoir pas agi."
SHdVTRkRXK4,SCIENCE_PEDAGOGIE,SCEPTICISME_MINIMISATION,0.62,neutre,information,False,"La vidéo mobilise Jancovici pour expliquer scientifiquement pourquoi un épisode de froid extrême ne contredit pas le réchauffement climatique, en réponse implicite à l'argument sceptique de Trump — ce qui relève de la pédagogie scientifique et du débunkage, non du scepticisme lui-même."
VF7M9y5-j0k,CRITIQUE_INACTION,SCIENCE_PEDAGOGIE,0.82,colère,opinion,False,"L'édito dénonce activement le climatoscepticisme de Trump et l'inaction politique américaine tout en s'appuyant sur des données scientifiques solides (Copernicus, GIEC, rapports européens) pour réfuter le déni climatique, ce qui correspond à une critique de l'inaction/du déni organisé plutôt qu'à une remise en cause de la science."
gA5FniND95Y,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.95,moquerie,opinion,False,"La vidéo affirme explicitement que le réchauffement climatique est « une gigantesque arnaque », remet en cause la validité des données scientifiques et traite les défenseurs du climat d'« escrologistes », incarnant ainsi une position de scepticisme et de minimisation portée à la première personne par l'auteur."
Hl3RCQkarMw,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.72,colère,opinion,False,"Le titre ('l'arnaque climatique débusquée') et la présence d'un auteur d'un ouvrage intitulé 'Climarnaque' signalent une remise en cause directe du consensus climatique par la vidéo elle-même, même si l'extrait disponible du transcript porte majoritairement sur des sujets géopolitiques/militaires ; la confiance est modérée car le segment climatique (à 50:00) n'est pas capturé dans le transcript fourni."
Z3c7d9jHA3U,ANXIETE_EFFONDREMENT,SCIENCE_PEDAGOGIE,0.72,anxiété,information,False,"La vidéo adopte un registre documentaire factuel appuyé par un climatologue, mais son intention dominante est de dresser un tableau alarmiste et progressivement catastrophiste de la crise climatique (points de bascule, défaillances d'organes, inaction, sentiment que 'c'est pire que ce que je pensais'), avec une tonalité d'anxiété assumée et une absence de solutions dans cette première partie."
ZAM6kaiJJw8,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.92,colère,opinion,False,"La vidéo porte elle-même un discours sceptique : elle qualifie le réchauffement climatique d'« arnaque », remet en cause l'origine humaine du changement climatique et invoque des scientifiques dissidents pour contester le consensus, ce qui correspond exactement à la définition de SCEPTICISME_MINIMISATION."
jo13ZXYWQQw,SCIENCE_PEDAGOGIE,,0.25,neutre,information,False,"La vidéo porte sur le hantavirus et sa comparaison épidémiologique avec le Covid-19, sans lien substantiel avec le climat ; le sujet climatique est absent, ce qui contraint à choisir le narratif le moins inadapté avec une confiance très basse."
RnkYO-ARiZo,SOLUTIONS_TECHNO,SCIENCE_PEDAGOGIE,0.72,neutre,information,True,"Jancovici détaille concrètement des solutions systémiques (mix énergétique, mobilité, alimentation, nucléaire vs renouvelables) dans un format Q&A pédagogique, avec un registre factuel et pragmatique centré sur les leviers de décarbonation plutôt que sur l'alarmisme ou la critique politique."
